Name,Team
Taha Abdi Ali,Helsingborg
Yusuf Abdulazeez,Mjällby
Suleiman Abdullahi,Göteborg
Ishaq Abdulrazak,Norrköping
Peter Abrahamsson,Häcken
Malik Abubakari,Malmö
Benjamin Acquah,Helsingborg
Albion Ademi,Djurgården
Nathaniel Adjei,Hammarby
Simon Adjei,Varberg
Samuel Adrian,Malmö
Oscar Aga,Elfsborg
Viktor Agardius,Norrköping
Amar Ahmed,AIK
Hosam Aiesh,Göteborg
Oliver Alfonsi,Varberg
Papa Alioune Diouf,Kalmar
Rasmus Alm,Elfsborg
Filip Ambroz,Göteborg
Amir Al Ammari,Mjällby
Amir Al Ammari,Göteborg
Joseph Amoako,Helsingborg
Jeppe Andersen,Hammarby
Andreas Andersson,Sundsvall
Elias Andersson,Djurgården
Erik Andersson,Sundsvall
Fredrik Andersson,Varberg
Victor Andersson,AIK
Marcus Antonsson,Värnamo
Joel Asoro,Djurgården
Tim van Assema,Göteborg
Henry Atola,AIK
Haris Avdiu,Värnamo
Taha Ayari,AIK
Yasin Ayari,AIK
Victor Backman,Kalmar
Nabil Bahoui,AIK
Michael Baidoo,Elfsborg
Emmanuel Banda,Djurgården
Johan Bångsbo,Göteborg
Edvin Becirovic,Värnamo
Felix Beijmo,Malmö
Johan Bengtsson,Sundsvall
Leo Bengtsson,Häcken
Pierre Bengtsson,Djurgården
Simon Bengtsson,Helsingborg
Marcus Berg,Göteborg
Oliver Berg,Kalmar
Gustav Berggren,Häcken
Doug Bergqvist,Kalmar
Jacob Bergström,Mjällby
Veton Berisha,Hammarby
Alexander Bernhardsson,Elfsborg
Johan Bertilsson,Degerfors
Nahir Besara,Hammarby
Egzon Binaku,Norrköping
Jon Birkfeldt,Varberg
Veljko Birman?evi?,Malmö
Aron Bjarnason,Sirius
Mattias Bjärsmyr,Göteborg
Isak Bjerkebo,Kalmar
Tim Björkström,Sirius
Axel Björnström,AIK
Davor Blaževi?,Hammarby
Alexander Blomqvist,Sundsvall
Andreas Blomqvist,Mjällby
Emmanuel Boateng,Elfsborg
Filip Bohman,Varberg
Darijan Bojani?,Hammarby
André Boman,Varberg
Elyas Bouzaiene,Degerfors
Johan Brattberg,Häcken
Samuel Brolin,Mjällby
Jaheem Burke,Varberg
Marcus Burman,Sundsvall
Mohamed Buya Turay,Malmö
Diego Campos,Degerfors
Adam Carlén,Degerfors
Linus Carlstrand,Göteborg
Hussein Carneil,Göteborg
Jesper Carström,Sundsvall
Gabriel Castro,Sundsvall
Jesper Ceesay,AIK
Joseph Ceesay,Malmö
Mat?j Chaluš,Malmö
Anders Christiansen,Malmö
Dennis Collander,Hammarby
David Concha,Hammarby
Jack Cooper Love,Elfsborg
Leo Cornic,Djurgården
Joe Corona,Sundsvall
Kristopher Da Graca,Sirius
Filip Dagerstål,Norrköping
Pontus Dahlberg,Göteborg
Johan Dahlin,Malmö
Niklas Dahlström,Sundsvall
Ronaldo Damus,Sundsvall
Marcus Danielsson,Djurgården
Viljormur Davidsen,Helsingborg
Edwin Dellkrans,Sundsvall
Alper Demirol,Hammarby
Anthony van den Hurk,Helsingborg
Ismael Diawara,Malmö
Jesper Dickman,Värnamo
Amadou Doumbouya,Djurgården
Oliver Dovin,Hammarby
Flamur Dzelili,Varberg
Victor Edvardsen,Djurgården
David Edvardsson,Värnamo
Daniel Eid,Norrköping
Noah Eile,Mjällby
Albert Ejupi,Helsingborg
Hjalmar Ekdal,Djurgården
Godswill Ekpolo,Norrköping
Zachary Elbouzedi,AIK
Pontus Engblom,Sundsvall
Jusef Erabi,Hammarby
Erick,Värnamo
Anton Eriksson,Norrköping
Anton Eriksson,Sundsvall
Felix Eriksson,Göteborg
Magnus Eriksson,Djurgården
Sebastian Eriksson,Göteborg
Victor Eriksson,Värnamo
Alexander Faltsetas,Häcken
Alexander Faltsetas,Helsingborg
Omar Faraj,Degerfors
Mads Fenger,Hammarby
Josip Filipovic,Mjällby
Hampus Finndell,Djurgården
Ari Freyr Skúlason,Norrköping
Erik Friberg,Häcken
